City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Rawson,AR,-43.3002,-65.1023,43.2,61,28,16.08,scattered clouds
314,Codrington,AU,-38.2667,141.9667,59.04,66,91,6.49,overcast clouds
315,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,91,19,3.49,few clouds
316,Pilibhit,IN,28.6333,79.8,97.02,40,10,2.59,clear sky
317,Volchikha,RU,52.0333,80.3833,74.1,39,32,13.02,scattered clouds
318,San Quintin,MX,30.4833,-115.95,75.43,91,23,14.54,few clouds
319,Waddan,LY,29.1614,16.139,72.61,46,0,1.92,clear sky
320,Paranaiba,BR,-19.6772,-51.1908,59.79,56,0,4.36,clear sky
321,Mahebourg,MU,-20.4081,57.7,76.24,69,20,16.11,few clouds
322,Greenwood,US,34.1668,-82.1165,72.84,86,1,0.0,clear sky
323,Santa Lucia,ES,27.9117,-15.5407,62.94,73,75,21.85,broken clouds
324,Nova Aurora,BR,-22.8667,-52.5667,54.1,77,0,9.26,clear sky
325,Alghero,IT,40.5589,8.3181,64.49,100,4,3.44,fog
326,Salinas,US,36.6777,-121.6555,66.52,79,90,5.75,overcast clouds
327,Kerouane,GN,9.2667,-9.0167,68.4,99,98,3.69,overcast clouds
328,Vostok,RU,46.4856,135.8833,73.65,24,22,7.14,few clouds
329,San Andres,CO,12.5847,-81.7006,82.42,83,75,11.5,broken clouds
330,Bahawalpur,PK,29.4,71.6833,99.18,35,0,4.34,clear sky
331,Lensk,RU,60.7253,114.9278,75.52,21,100,5.82,overcast clouds
332,Pangkalanbuun,ID,-2.6833,111.6167,94.51,44,18,2.66,few clouds
333,Linxia,CN,35.6003,103.2064,71.69,55,71,4.54,broken clouds
334,Zonguldak,TR,41.25,31.8333,60.87,86,33,5.1,scattered clouds
335,Gwadar,PK,25.1216,62.3254,85.75,71,73,7.31,broken clouds
336,Touros,BR,-5.1989,-35.4608,73.27,92,43,8.25,scattered clouds
337,Zabid,YE,14.1951,43.3152,95.76,39,97,3.11,overcast clouds
338,Vanavara,RU,60.34,102.2797,44.46,92,100,11.48,light rain
339,Yaan,NG,7.3833,8.5667,75.07,90,95,8.1,overcast clouds
340,Yulara,AU,-25.2406,130.9889,71.44,33,40,10.36,scattered clouds
341,Fortuna,US,40.5982,-124.1573,64.47,70,90,3.44,overcast clouds
342,Skjervoy,NO,70.0311,20.9714,48.2,71,85,16.06,overcast clouds
343,Cairns,AU,-16.9167,145.7667,89.06,77,52,4.61,broken clouds
344,Dawlatabad,AF,36.4141,64.9053,93.81,10,0,5.32,clear sky
345,Dwarka,IN,22.2394,68.9678,88.21,66,84,17.74,broken clouds
346,La Orilla,MX,17.9833,-102.2333,78.15,81,73,3.4,broken clouds
347,Algiers,DZ,36.7525,3.042,66.02,88,40,3.44,scattered clouds
