City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
280,Zaozerne,UA,2021-06-13 23:27:17,45.1582,33.2787,66.7,83,46,14.52
281,Pochutla,MX,2021-06-13 23:25:49,15.7432,-96.4661,83.25,78,94,2.37
282,Naron,ES,2021-06-13 23:27:18,43.5167,-8.1528,67.05,96,100,4.03
283,Maarianhamina,AX,2021-06-13 23:27:18,60.0973,19.9348,53.46,71,0,10.36
284,Svetlyy,RU,2021-06-13 23:27:18,54.675,20.1347,50.05,91,6,5.73
285,Sharon,US,2021-06-13 23:27:19,41.2331,-80.4934,78.85,74,75,17.27
286,Alamosa,US,2021-06-13 23:27:19,37.4695,-105.87,89.11,8,1,8.05
287,Aleksandrov Gay,RU,2021-06-13 23:24:57,50.147,48.5704,69.35,67,100,10.07
288,Bassila,BJ,2021-06-13 23:27:20,9.0081,1.6654,76.39,74,92,5.93
289,Mormugao,IN,2021-06-13 23:27:20,15.4,73.8,76.26,100,75,5.75
290,Rawson,AR,2021-06-13 23:27:21,-43.3002,-65.1023,48.7,54,55,11.81
291,Bubaque,GW,2021-06-13 23:27:21,11.2833,-15.8333,76.6,93,95,26.73
292,Olinda,BR,2021-06-13 23:26:49,-8.0089,-34.8553,74.93,73,20,6.91
293,Svilengrad,BG,2021-06-13 23:27:22,41.7667,26.2,54.86,86,29,3.8
294,Aripuana,BR,2021-06-13 23:27:23,-9.1667,-60.6333,80.83,55,53,1.83
